key,location,latitude,longitude
Robb_Stark-14,,21.6166,-122.0801
Robb_Stark-14,Riverrun,,
Robb_Stark-15,Riverrun,,
Robb_Stark-15,Oldstones,,
Robb_Stark-15,,32.6578,-127.4121
Robb_Stark-16,,32.6578,-127.4121
Robb_Stark-16,Twins,,
Sansa_Stark-1,Winterfell,,
Sansa_Stark-1,,64.6991,-124.8632
Sansa_Stark-1,,57.9848,-122.4023
Sansa_Stark-2,,57.9848,-122.4023
Sansa_Stark-2,,44.5900,-122.4023
Sansa_Stark-2,,41.0462,-120.5566
Sansa_Stark-2,,36.1733,-122.0507
Sansa_Stark-2,,33.8700,-121.5234
Sansa_Stark-2,,26.4312,-114.1406
Sansa_Stark-3,,26.4312,-114.1406
Sansa_Stark-3,Darry,,
Sansa_Stark-3,,16.0669,-109.5263
Sansa_Stark-3,Hayford,,
Sansa_Stark-3,King%27s_Landing,,
Sansa_Stark-4,King%27s_Landing,,
Sansa_Stark-4,,1.2303,-103.3593
Sansa_Stark-5,,1.2303,-103.3593
Sansa_Stark-5,,1.4939,-98.0859
Sansa_Stark-5,,9.7956,-88.1542
Sansa_Stark-5,,13.4109,-82.7929
Sansa_Stark-6,,13.4109,-82.7929
Sansa_Stark-6,,32.1756,-77.2558
Sansa_Stark-6,House_Baelish,,
Sansa_Stark-7,,13.4109,-82.7929
Sansa_Stark-7,,23.9661,-80.3320
Sansa_Stark-7,,27.3718,-84.1553
Sansa_Stark-7,Gulltown,,
Sansa_Stark-7,,31.6907,-96.0644
Sansa_Stark-7,,30.9776,-100.1074
Sansa_Stark-7,Bloody_Gate,,
Sansa_Stark-7,Eyrie,,
Sansa_Stark-8,House_Baelish,,
Sansa_Stark-8,Longbow_Hall,,
Sansa_Stark-8,,30.9776,-100.1074
Sansa_Stark-8,Bloody_Gate,,
Sansa_Stark-8,Eyrie,,
Sansa_Stark-9,Bloody_Gate,,
Sansa_Stark-9,,27.4107,-104.9121
Sansa_Stark-9,,27.4107,-104.9121
Sansa_Stark-9,,25.2446,-106.0107
Sansa_Stark-9,,25.1651,-110.2294
Sansa_Stark-9,Crossroads_Inn,,
Sansa_Stark-10,Winterfell,,
Sansa_Stark-10,,67.1187,-124.8486
Sansa_Stark-11,,67.1187,-124.8486
Sansa_Stark-11,Castle_Black,,
Sansa_Stark-12,Castle_Black,,
Sansa_Stark-12,Mole%27s_Town,,
Sansa_Stark-13,Castle_Black,,
Sansa_Stark-13,,74.8219,-107.0947
Sansa_Stark-13,,76.0479,-112.0605
Sansa_Stark-13,Westwatch-by-the-Bridge,,
Sansa_Stark-13,,75.6504,-121.0253
Sansa_Stark-13,,73.0610,-135.5712
Sansa_Stark-13,,72.6595,-138.5156
Sansa_Stark-13,,73.1758,-139.2626
Sansa_Stark-13,,73.4659,-138.7353
Sansa_Stark-13,,72.1144,-140.2734
Sansa_Stark-13,Deepwood_Motte,,
Sansa_Stark-13,,72.1144,-140.2734
Sansa_Stark-13,,75.6504,-121.0253
Sansa_Stark-14,,74.8219,-107.0947
Sansa_Stark-14,,72.6988,-108.8964
Sansa_Stark-14,,68.5121,-120.8496
Sansa_Stark-14,Winterfell,,
Bran_Stark-1,Winterfell,,
Bran_Stark-1,Execution_Holdfast,,
Bran_Stark-2,,65.9822,-124.9804
Bran_Stark-2,Winterfell,,
Bran_Stark-2,,66.6877,-124.0136
Bran_Stark-3,,66.6877,-124.0136
Bran_Stark-3,,67.3399,-124.1895
Bran_Stark-4,,67.3399,-124.1895
Bran_Stark-4,,70.4662,-119.7070
Bran_Stark-5,,70.4662,-119.7070
Bran_Stark-5,,72.2355,-114.3457
Bran_Stark-6,,72.2355,-114.3457
Bran_Stark-6,,73.5533,-111.0059
Bran_Stark-7,,73.5533,-111.0059
Bran_Stark-7,Queenscrown,,
Bran_Stark-8,,66.6877,-124.0136
Bran_Stark-8,Tumbledown_Tower,,
Bran_Stark-9,Tumbledown_Tower,,
Bran_Stark-9,,71.3851,-121.8164
Bran_Stark-10,,71.3851,-121.8164
Bran_Stark-10,Queenscrown,,
Bran_Stark-11,Queenscrown,,
Bran_Stark-11,Nightfort,,
Bran_Stark-12,Nightfort,,
Bran_Stark-12,,77.0000,-111.5332
Bran_Stark-13,,77.0000,-111.5332
Bran_Stark-13,Craster%27s_Keep,,
Bran_Stark-14,Nightfort,,
Bran_Stark-14,,81.7421,-129.6826
Bran_Stark-15,Craster%27s_Keep,,
Bran_Stark-15,,81.7421,-129.6826
Bran_Stark-16,,81.7421,-129.6826
Bran_Stark-16,,81.7610,-128.4082
Bran_Stark-17,,81.7610,-128.4082
Bran_Stark-17,,81.6660,-127.7490
Bran_Stark-18,,81.6660,-127.7490
Bran_Stark-18,,76.6189,-106.6113
Arya_Stark-1,Winterfell,,
Arya_Stark-1,,64.6991,-124.8632
Arya_Stark-1,,57.9848,-122.4023
Arya_Stark-2,,57.9848,-122.4023
Arya_Stark-2,,44.5900,-122.4023
Arya_Stark-2,,41.0462,-120.5566
Arya_Stark-2,,36.1733,-122.0507
Arya_Stark-2,,33.8700,-121.5234
Arya_Stark-2,,26.4312,-114.1406
Arya_Stark-3,,26.4312,-114.1406
Arya_Stark-3,Darry,,
Arya_Stark-3,,16.0669,-109.5263
Arya_Stark-3,Hayford,,
Arya_Stark-3,King%27s_Landing,,
Arya_Stark-4,King%27s_Landing,,
Arya_Stark-4,,5.5285,-107.3144
Arya_Stark-5,,5.5285,-107.3144
Arya_Stark-5,Ivy_Inn,,
Arya_Stark-6,Ivy_Inn,,
Arya_Stark-6,Gods_Eye_Holdfast,,
Arya_Stark-7,Ivy_Inn,,
Arya_Stark-7,,16.0669,-109.5263
Arya_Stark-7,Harrenhal,,
Arya_Stark-8,Gods_Eye_Holdfast,,
Arya_Stark-8,,11.9533,-112.0605
Arya_Stark-8,Gods_Eye_Village,,
Arya_Stark-9,Gods_Eye_Village,,
Arya_Stark-9,,16.4676,-111.2695
Arya_Stark-9,Harrenhal,,
Arya_Stark-10,Harrenhal,,
Arya_Stark-10,,21.5348,-116.5869
Arya_Stark-11,,21.5348,-116.5869
Arya_Stark-11,Inn_of_the_Kneeling_Man,,
Arya_Stark-12,Inn_of_the_Kneeling_Man,,
Arya_Stark-12,,22.5125,-124.5410
Arya_Stark-13,,22.5125,-124.5410
Arya_Stark-13,Lychester_Keep,,
Arya_Stark-13,Lady_of_the_Leaves,,
Arya_Stark-13,Acorn_Hall,,
Arya_Stark-14,Acorn_Hall,,
Arya_Stark-14,Stoney_Sept,,
Arya_Stark-15,Stoney_Sept,,
Arya_Stark-15,Hollow_Hill,,
Arya_Stark-16,Inn_of_the_Kneeling_Man,,
Arya_Stark-16,Hollow_Hill,,
Arya_Stark-17,Hollow_Hill,,
Arya_Stark-17,Robbed_Sept,,
Arya_Stark-18,Robbed_Sept,,
Arya_Stark-18,High_Heart,,
Arya_Stark-18,Goodbrook_Village,,
Arya_Stark-19,Goodbrook_Village,,
Arya_Stark-19,Lord_Harroway%27s_Town,,
Arya_Stark-20,Hollow_Hill,,
Arya_Stark-20,Lord_Harroway%27s_Town,,
Arya_Stark-21,Lord_Harroway%27s_Town,,
Arya_Stark-21,,26.3524,-114.8730
Arya_Stark-21,,38.4793,-126.8261
Arya_Stark-21,Twins,,
Arya_Stark-22,Twins,,
Arya_Stark-22,,37.2303,-120.0586
Arya_Stark-23,,37.2303,-120.0586
Arya_Stark-23,,33.3580,-118.3886
Arya_Stark-24,,33.3580,-118.3886
Arya_Stark-24,Palisade_Village,,
Arya_Stark-25,Palisade_Village,,
Arya_Stark-25,,28.1495,-108.8085
Arya_Stark-26,,28.1495,-108.8085
Arya_Stark-26,Bloody_Gate,,
Arya_Stark-27,Bloody_Gate,,
Arya_Stark-27,,25.2446,-104.1503
Arya_Stark-27,Saltpans,,
Arya_Stark-28,Palisade_Village,,
Arya_Stark-28,Crossroads_Inn,,
Arya_Stark-28,Saltpans,,
Arya_Stark-29,Saltpans,,
Arya_Stark-29,,18.5629,-100.5468
Arya_Stark-29,,21.2893,-89.0332
Arya_Stark-29,,31.1281,-77.6513
Arya_Stark-29,,44.5591,-60.9521
Arya_Stark-29,Braavos,,
Arya_Stark-30,Saltpans,,
Arya_Stark-30,Crossroads_Inn,,
Rickon_Stark-1,,65.9822,-124.9804
Rickon_Stark-1,Winterfell,,
Rickon_Stark-1,,66.6877,-124.0136
Rickon_Stark-2,,66.6877,-124.0136
Rickon_Stark-2,,67.3399,-124.1895
Rickon_Stark-3,,67.3399,-124.1895
Rickon_Stark-3,,70.4662,-119.7070
Rickon_Stark-4,,70.4662,-119.7070
Rickon_Stark-4,,72.2355,-114.3457
Rickon_Stark-5,,72.2355,-114.3457
Rickon_Stark-5,,73.5533,-111.0059
Rickon_Stark-6,,73.5533,-111.0059
Rickon_Stark-6,Queenscrown,,
Rickon_Stark-7,Queenscrown,,
Rickon_Stark-7,,73.7265,-109.7753
Rickon_Stark-7,Last_Hearth,,
Rickon_Stark-7,,72.7380,-109.0722
Rickon_Stark-7,,68.6885,-120.7617
Rickon_Stark-7,Winterfell,,
Jon_Snow-1,Winterfell,,
Jon_Snow-1,Execution_Holdfast,,
Jon_Snow-2,Winterfell,,
Jon_Snow-2,,68.7204,-121.1132
Jon_Snow-2,,72.9454,-108.4570
Jon_Snow-2,Castle_Black,,
Jon_Snow-3,Castle_Black,,
Jon_Snow-3,,76.6189,-106.6113
Jon_Snow-4,Castle_Black,,
Jon_Snow-4,,76.7202,-105.2050
Jon_Snow-5,Castle_Black,,
Jon_Snow-5,,75.7589,-106.6992
Jon_Snow-6,Castle_Black,,
Jon_Snow-6,Whitetree,,
Jon_Snow-7,Whitetree,,
Jon_Snow-7,Craster%27s_Keep,,
Jon_Snow-8,Craster%27s_Keep,,
Jon_Snow-8,Fist_of_the_First_Men,,
Jon_Snow-9,Fist_of_the_First_Men,,
Jon_Snow-9,,78.3316,-119.9707
Jon_Snow-9,,78.1435,-121.4208
Jon_Snow-10,,78.1435,-121.4208
Jon_Snow-10,,78.0437,-124.0136
Jon_Snow-11,Fist_of_the_First_Men,,
Jon_Snow-11,,76.5781,-113.2910
Jon_Snow-12,,76.5781,-113.2910
Jon_Snow-12,,75.1858,-114.3457
Jon_Snow-13,,75.1858,-114.3457
Jon_Snow-13,Queenscrown,,
Jon_Snow-14,,76.5781,-113.2910
Jon_Snow-14,Queenscrown,,
Jon_Snow-15,Queenscrown,,
Jon_Snow-15,Castle_Black,,
Jon_Snow-16,Castle_Black,,
Jon_Snow-16,Eastwatch-by-the-Sea,,
Jon_Snow-16,,77.5420,-94.3945
Jon_Snow-16,,78.9713,-95.4492
Jon_Snow-16,Hardhome,,
Jon_Snow-17,,76.3933,-99.0527
Jon_Snow-17,,76.4552,-106.6113
Jon_Snow-17,Castle_Black,,
Jon_Snow-18,Castle_Black,,
Jon_Snow-18,,74.8219,-107.0947
Jon_Snow-18,,76.0479,-112.0605
Jon_Snow-18,Westwatch-by-the-Bridge,,
Jon_Snow-18,,75.6504,-121.0253
Jon_Snow-18,,73.0610,-135.5712
Jon_Snow-18,,72.6595,-138.5156
Jon_Snow-18,,73.1758,-139.2626
Jon_Snow-18,,73.4659,-138.7353
Jon_Snow-18,,72.1144,-140.2734
Jon_Snow-18,Deepwood_Motte,,
Jon_Snow-18,,72.1144,-140.2734
Jon_Snow-18,,75.6504,-121.0253
Daenerys_Targaryen-1,Pentos,,
Daenerys_Targaryen-1,,3.4256,-58.0078
Daenerys_Targaryen-2,,3.4256,-58.0078
Daenerys_Targaryen-2,,-0.1757,-41.1328
Daenerys_Targaryen-2,,1.1425,-37.0019
Daenerys_Targaryen-2,,-2.0210,-30.7617
Daenerys_Targaryen-2,Ny_Sar,,
Daenerys_Targaryen-2,Ar_Noy,,
Daenerys_Targaryen-2,,-12.1252,-7.3828
Daenerys_Targaryen-2,,-13.1543,0.1757
Daenerys_Targaryen-3,,-13.1543,0.1757
Daenerys_Targaryen-3,Vaes_Dothrak,,
Daenerys_Targaryen-4,Vaes_Dothrak,,
Daenerys_Targaryen-4,,-30.2970,101.0742
Daenerys_Targaryen-4,Lhazar,,
Daenerys_Targaryen-5,Lhazar,,
Daenerys_Targaryen-5,,-51.7270,106.0839
Daenerys_Targaryen-5,,-66.9300,121.8164
Daenerys_Targaryen-5,,-68.0404,128.5839
Daenerys_Targaryen-5,Vaes_Tolorro,,
Daenerys_Targaryen-6,Vaes_Tolorro,,
Daenerys_Targaryen-6,,-77.6365,142.2070
Daenerys_Targaryen-6,,-79.0718,155.6542
Daenerys_Targaryen-6,Qarth,,
Daenerys_Targaryen-7,Qarth,,
Daenerys_Targaryen-7,,-81.3480,145.7226
Daenerys_Targaryen-7,,-77.4086,103.6230
Daenerys_Targaryen-8,,-77.4086,103.6230
Daenerys_Targaryen-8,,-69.2249,83.4082
Daenerys_Targaryen-8,,-68.3019,74.0039
Daenerys_Targaryen-8,,-58.4936,58.1835
Daenerys_Targaryen-8,,-56.4624,60.2920
Daenerys_Targaryen-8,Astapor,,
Daenerys_Targaryen-9,Astapor,,
Daenerys_Targaryen-9,,-58.2170,75.1464
Daenerys_Targaryen-10,Astapor,,
Daenerys_Targaryen-10,,-58.2170,75.1464
Daenerys_Targaryen-10,,-53.3308,76.3769
Daenerys_Targaryen-10,Yunkai,,
Daenerys_Targaryen-11,Yunkai,,
Daenerys_Targaryen-11,,-48.5747,78.7500
Daenerys_Targaryen-12,,-48.5747,78.7500
Daenerys_Targaryen-12,Meereen,,
Daenerys_Targaryen-13,Meereen,,
Daenerys_Targaryen-13,,-39.8760,89.7363
Daenerys_Targaryen-13,,-32.6948,85.7575
Daenerys_Targaryen-13,,-33.5047,85.7812
Daenerys_Targaryen-14,,-33.5047,85.7812
Daenerys_Targaryen-14,,-24.6070,72.4218
Daenerys_Targaryen-15,,-24.6070,72.4218
Daenerys_Targaryen-15,Vaes_Dothrak,,
Daenerys_Targaryen-16,Vaes_Dothrak,,
Daenerys_Targaryen-16,,-22.0652,73.5644
Daenerys_Targaryen-17,,-22.0652,73.5644
Daenerys_Targaryen-17,Meereen,,
Daenerys_Targaryen-18,Meereen,,
Daenerys_Targaryen-18,,-58.2632,52.0312
Daenerys_Targaryen-18,,-68.3505,50.6689
Aegon_Targaryen-1,Ghoyan_Drohe,,
Aegon_Targaryen-1,,7.1881,-40.7812
Aegon_Targaryen-1,,4.0396,-38.4082
Aegon_Targaryen-1,,4.0834,-37.5292
Aegon_Targaryen-1,,1.1425,-36.1669
Aegon_Targaryen-1,Ny_Sar,,
Aegon_Targaryen-1,,-3.4256,-25.5322
Aegon_Targaryen-1,,-12.4258,-21.4453
Aegon_Targaryen-1,Sorrows,,
Aegon_Targaryen-2,Sorrows,,
Aegon_Targaryen-2,,-27.5277,-23.8183
Aegon_Targaryen-2,Selhorys,,
Aegon_Targaryen-3,Selhorys,,
Aegon_Targaryen-3,,-34.6693,-20.9619
Aegon_Targaryen-3,,-35.9957,-19.8632
Aegon_Targaryen-3,,-36.6684,-20.5224
Aegon_Targaryen-3,,-39.3002,-19.3359
Aegon_Targaryen-3,,-41.1455,-16.8310
Aegon_Targaryen-3,Volon_Therys,,
Aegon_Targaryen-4,Volon_Therys,,
Aegon_Targaryen-4,,-43.0046,-14.7216
Aegon_Targaryen-4,,-43.4210,-12.3046
Aegon_Targaryen-4,Volantis,,
Aegon_Targaryen-4,,-48.8357,-11.1621
Aegon_Targaryen-4,,-49.5537,-19.3359
Aegon_Targaryen-4,,-38.5481,-68.5546
Aegon_Targaryen-4,,-36.2442,-70.3125
Aegon_Targaryen-4,,-35.8178,-74.8828
Aegon_Targaryen-4,,-33.2111,-77.7832
Aegon_Targaryen-4,,-20.6327,-79.1894
Aegon_Targaryen-4,Griffin%27s_Roost,,
Tywin_Lannister-1,Casterly_Rock,,
Tywin_Lannister-1,Sarsfield,,
Tywin_Lannister-1,Golden_Tooth,,
Tywin_Lannister-1,Wayfarer%27s_Rest,,
Tywin_Lannister-1,Riverrun,,
Tywin_Lannister-2,Riverrun,,
Tywin_Lannister-2,Fairmarket,,
Tywin_Lannister-2,,32.6578,-122.3876
Tywin_Lannister-3,,32.6578,-122.3876
Tywin_Lannister-3,,32.6578,-120.5419
Tywin_Lannister-3,,25.5226,-113.5107
Tywin_Lannister-3,Crossroads_Inn,,
Tywin_Lannister-4,Crossroads_Inn,,
Tywin_Lannister-4,Darry,,
Tywin_Lannister-4,Harrenhal,,
Tywin_Lannister-5,Harrenhal,,
Tywin_Lannister-5,,18.1458,-115.8398
Tywin_Lannister-6,,18.1458,-115.8398
Tywin_Lannister-6,,11.6091,-119.5312
Tywin_Lannister-6,King%27s_Landing,,
Jaime_Lannister-1,King%27s_Landing,,
Jaime_Lannister-1,Hayford,,
Jaime_Lannister-1,,16.0669,-109.5263
Jaime_Lannister-1,Darry,,
Jaime_Lannister-1,,26.4312,-114.1406
Jaime_Lannister-1,,33.8704,-121.5234
Jaime_Lannister-1,,36.1733,-122.0507
Jaime_Lannister-1,,41.0462,-120.5566
Jaime_Lannister-1,,44.5904,-122.4023
Jaime_Lannister-1,,57.9848,-122.4023
Jaime_Lannister-1,,64.6991,-124.8633
Jaime_Lannister-1,Winterfell,,
Jaime_Lannister-2,King%27s_Landing,,
Jaime_Lannister-2,,0.9667,-108.6328
Jaime_Lannister-2,,3.7765,-113.2031
Jaime_Lannister-3,,3.7765,-113.2031
Jaime_Lannister-3,,5.3535,-116.2792
Jaime_Lannister-3,,1.9332,-127.6171
Jaime_Lannister-3,Deep_Den,,
Jaime_Lannister-3,,7.4496,-141.9433
Jaime_Lannister-3,Sarsfield,,
Jaime_Lannister-3,Golden_Tooth,,
Jaime_Lannister-3,Wayfarer%27s_Rest,,
Jaime_Lannister-3,Riverrun,,
Jaime_Lannister-4,Riverrun,,
Jaime_Lannister-4,,23.9661,-128.3642
Jaime_Lannister-5,,23.9661,-128.3642
Jaime_Lannister-5,,14.6898,-143.8769
Jaime_Lannister-5,Oxcross,,
Jaime_Lannister-6,Riverrun,,
Jaime_Lannister-6,,23.5237,-127.4853
Jaime_Lannister-6,They_Lay_With_Lions,,
Jaime_Lannister-7,Oxcross,,
Jaime_Lannister-7,,9.7091,-142.1191
Jaime_Lannister-7,,11.4370,-135.4395
Jaime_Lannister-7,,12.5546,-131.5723
Jaime_Lannister-8,They_Lay_With_Lions,,
Jaime_Lannister-8,,23.8858,-125.1123
Jaime_Lannister-8,,24.8066,-124.9365
Jaime_Lannister-8,,25.6019,-122.3876
Jaime_Lannister-8,Inn_of_the_Kneeling_Man,,
Jaime_Lannister-9,Inn_of_the_Kneeling_Man,,
Jaime_Lannister-9,,23.8858,-119.9707
Jaime_Lannister-10,,12.5546,-131.5723
Jaime_Lannister-10,,11.4370,-126.4746
Jaime_Lannister-11,,11.4370,-126.4746
Jaime_Lannister-11,,13.7527,-123.3105
Jaime_Lannister-12,,13.7527,-123.3105
Jaime_Lannister-12,,16.2991,-119.0918
Jaime_Lannister-13,,23.8858,-119.9707
Jaime_Lannister-13,Harrenhal,,
Jaime_Lannister-14,,16.2991,-119.0918
Jaime_Lannister-14,Harrenhal,,
Jaime_Lannister-15,Harrenhal,,
Jaime_Lannister-15,,16.9727,-112.1484
Jaime_Lannister-16,,16.9727,-112.1484
Jaime_Lannister-16,,16.0669,-109.5263
Jaime_Lannister-16,Brindlewood,,
Jaime_Lannister-17,Brindlewood,,
Jaime_Lannister-17,Hayford,,
Jaime_Lannister-17,King%27s_Landing,,
Jaime_Lannister-18,King%27s_Landing,,
Jaime_Lannister-18,,1.1425,-99.4921
Jaime_Lannister-18,,10.1419,-87.1875
Jaime_Lannister-18,,-11.8673,-77.8710
Jaime_Lannister-18,,-22.2687,-77.3437
Jaime_Lannister-18,,-33.2111,-77.8710
Jaime_Lannister-18,,-39.7071,-78.2226
Jaime_Lannister-18,,-40.9798,-81.0351
Jaime_Lannister-19,,-40.9798,-81.0351
Jaime_Lannister-19,Water_Gardens,,
Jaime_Lannister-20,Water_Gardens,,
Jaime_Lannister-20,Sunspear,,
Jaime_Lannister-21,Sunspear,,
Jaime_Lannister-21,,-43.6440,-83.1884
Jaime_Lannister-22,,-43.6440,-83.1884
Jaime_Lannister-22,,-39.7071,-78.2226
Jaime_Lannister-23,Harrenhal,,
Jaime_Lannister-23,Darry,,
Jaime_Lannister-24,Darry,,
Jaime_Lannister-24,Inn_of_the_Kneeling_Man,,
Jaime_Lannister-24,Riverrun,,
Jaime_Lannister-25,Riverrun,,
Jaime_Lannister-25,Raventree_Hall,,
Jaime_Lannister-25,Pennytree,,
Cersei_Lannister-1,King%27s_Landing,,
Cersei_Lannister-1,Hayford,,
Cersei_Lannister-1,,16.0669,-109.5263
Cersei_Lannister-1,Darry,,
Cersei_Lannister-1,,26.4312,-114.1406
Cersei_Lannister-1,,33.8704,-121.5234
Cersei_Lannister-1,,36.1733,-122.0507
Cersei_Lannister-1,,41.0462,-120.5566
Cersei_Lannister-1,,44.5904,-122.4023
Cersei_Lannister-1,,57.9848,-122.4023
Cersei_Lannister-1,,64.6991,-124.8633
Cersei_Lannister-1,Winterfell,,
Tyrion_Lannister-1,King%27s_Landing,,
Tyrion_Lannister-1,Hayford,,
Tyrion_Lannister-1,,16.0669,-109.5263
Tyrion_Lannister-1,Darry,,
Tyrion_Lannister-1,,26.4312,-114.1406
Tyrion_Lannister-1,,33.8704,-121.5234
Tyrion_Lannister-1,,36.1733,-122.0507
Tyrion_Lannister-1,,41.0462,-120.5566
Tyrion_Lannister-1,,44.5904,-122.4023
Tyrion_Lannister-1,,57.9848,-122.4023
Tyrion_Lannister-1,,64.6991,-124.8633
Tyrion_Lannister-1,Winterfell,,
Tyrion_Lannister-2,Winterfell,,
Tyrion_Lannister-2,,68.7204,-121.1132
Tyrion_Lannister-2,,72.9454,-108.4570
Tyrion_Lannister-2,Castle_Black,,
Tyrion_Lannister-3,Crossroads_Inn,,
Tyrion_Lannister-3,,25.1651,-110.2294
Tyrion_Lannister-3,,25.2446,-106.0107
Tyrion_Lannister-3,,27.4107,-104.9121
Tyrion_Lannister-4,,27.4107,-104.9121
Tyrion_Lannister-4,,28.2656,-103.5937
Tyrion_Lannister-4,Eyrie,,
